family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
F,event0.55,abrupt_bump,frozen_start_calibration,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,0.875,0.11692679333668567,0.08338813623812612,0.13734787658383218,0.1481080507218943,3.519591804066797,0.68610725764977,1.0825594060176584,5.550977526422863e-05,0.0,3.0,0.13193245588110858,2.3125,0.6836224864604523
F,event0.55,abrupt_bump,frozen_start_calibration,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,0.875,0.11692679333668567,0.031075050274771525,0.1240409908961547,0.2245981080431369,3.942613436822227,1.0144976629276232,1.1102445193418626,0.00023769545671024005,0.0,3.0,0.12184522123532435,2.5833333333333335,1.0137119409855588
F,event0.55,abrupt_bump,frozen_start_calibration,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.002817439051619146,0.0687789072518146,0.1533185768764491,3.641194082478847,0.696902955081592,1.206575457243971,0.00010588286264357491,0.0,3.0,0.10623095035111292,1.875,0.6917105064507363
F,event0.55,abrupt_bump,windowed_sysid,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.003018547671209685,0.023394182917080206,0.13393891826307958,3.868169998420947,0.3475120151683295,2.6844364621487387,0.00011539311880799065,0.0078125,3.0,0.05037487578152927,0.5416666666666666,0.6836224864604523
F,event0.55,abrupt_bump,windowed_sysid,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.00784941542118283,0.03551601424777408,0.2283690024978758,3.775126768409544,0.41904814165635457,2.0195961945561254,0.00014162332720142677,0.0125,3.0,0.058938574564186025,0.7083333333333333,1.0137119409855588
F,event0.55,abrupt_bump,windowed_sysid,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.008638838016966724,0.020812817061656573,0.14259003339764073,3.9571437165984595,0.4161877527390636,2.1564276050240387,0.00010494604244183934,0.0140625,3.0,0.05571581567857099,0.7083333333333334,0.6917105064507363
F,event0.55,abrupt_bump,calibration_state,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0019234170542127237,0.024950729748229643,0.1484914457315083,3.527262034529248,0.34446212302664564,1.4110690695990629,5.0447172978416963e-05,0.0,3.0,0.058751352027723,0.7083333333333334,0.6836224864604523
F,event0.55,abrupt_bump,calibration_state,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0015667980051732333,0.03107834260237233,0.261034043883756,3.3165088720989813,0.30096951935312294,1.4705251513610884,4.94338066438515e-05,0.0015625,3.0,0.06593103074862819,0.8333333333333334,1.0137119409855588
F,event0.55,abrupt_bump,calibration_state,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0011388568842549845,0.02226515984878267,0.16181982537964967,3.5176373176970195,0.29849073652276215,1.4091965666799016,3.903110813815953e-05,0.0,3.0,0.07384832169934503,0.9583333333333334,0.6917105064507363
F,event0.55,abrupt_bump,oracle,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0019360414297301717,0.026953030891766042,0.15191213358481218,3.4277944521593318,0.0,1.3445044440078686,4.788771603746272e-06,0.0,3.0,0.0564783346729706,0.625,0.6836224864604523
