family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
G,g8_h48,random_walk,nominal_offline,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.2502610546946964,0.4797206725100135,0.14045233430503123,3.1904993610392642,0.3848233200856353,1.0,0.00019220014565817076,0.0,0.0,0.0,nan,0.2536075916864028
G,g8_h48,random_walk,nominal_offline,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.27271241536225155,0.5188037162001851,0.24201382117779513,3.1117417123486777,0.252152585095459,1.0,0.00018466941469941727,0.0,0.0,0.0,nan,0.18690737895110576
G,g8_h48,random_walk,frozen_start_calibration,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.21868307331733305,0.4718760672498473,0.12367629922667367,3.4807535346684704,0.2506345991729195,1.1097474417990947,0.0002641558236374039,0.0,0.0,0.0,nan,0.2536075916864028
G,g8_h48,random_walk,frozen_start_calibration,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.2271821107562587,0.48811754231849247,0.23692428647290262,3.205904769089352,0.16986151885688938,1.1457811303820362,0.00020954009413407706,0.0,0.0,0.0,nan,0.18690737895110576
G,g8_h48,random_walk,windowed_sysid,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.21279157465347748,0.45773183539637147,0.12017255397153821,3.590326583800167,0.24417126929116026,1.3151073739405779,0.000416602636174262,0.013020833333333332,0.0,0.0,nan,0.2536075916864028
G,g8_h48,random_walk,windowed_sysid,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.20145104240608863,0.47015138522212285,0.2242828764705989,3.3885577887190164,0.15084289212996876,1.5366084450283704,0.0003906996617793289,0.013020833333333332,0.0,0.0,nan,0.18690737895110576
G,g8_h48,random_walk,calibration_state,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.21634223430761812,0.4658944546420206,0.12589993327054771,3.449819910214415,0.11509919935454684,1.1209592022414465,0.00025655653499970677,0.0,0.0,0.0,nan,0.2536075916864028
G,g8_h48,random_walk,calibration_state,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.22033984626570233,0.4907666484998566,0.23324509986980344,3.2497961203218995,0.08931608624703616,1.1336336814137429,0.0002176334708147239,0.0,0.0,0.0,nan,0.18690737895110576
G,g8_h48,random_walk,oracle,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.21847256432416423,0.4659228940324086,0.1252455649039528,3.4410963449560503,0.0,1.133126257237405,0.0002460209683836001,0.0,0.0,0.0,nan,0.2536075916864028
G,g8_h48,random_walk,oracle,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.217433154759927,0.4904226131801287,0.23568871665674704,3.22590182364341,0.0,1.1555141366552557,0.00021280007437487236,0.0,0.0,0.0,nan,0.18690737895110576
G,g8_h80,random_walk,nominal_offline,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.19501912780898817,0.4116068678099323,0.1381990491124031,5.264576194036806,0.4481680971346509,1.0,0.00021356142012860592,0.0,0.0,0.0,nan,0.3057653579389209
G,g8_h80,random_walk,nominal_offline,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.22027328047322245,0.4646529995947801,0.1348699604055521,5.192686456730953,0.31435499122891725,1.0,0.00023746675213648575,0.0,0.0,0.0,nan,0.24570061296475806
G,g8_h80,random_walk,frozen_start_calibration,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.15038119301451539,0.3827087551148857,0.12706805448244457,5.673635088905975,0.294569628847464,1.1097474417990947,0.00031183925609035813,0.0,0.0,0.0,nan,0.3057653579389209
G,g8_h80,random_walk,frozen_start_calibration,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.19222076512975214,0.45629034533684054,0.13103174507942894,5.347742402518328,0.2355752152417428,1.1457811303820362,0.0002571360022024328,0.0,0.0,0.0,nan,0.24570061296475806
G,g8_h80,random_walk,windowed_sysid,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.12831632407278415,0.37984462737881386,0.12170265321771298,5.9504179123155145,0.2120071179569475,1.4046599018236159,0.0004344246581031698,0.0109375,0.0,0.0,nan,0.3057653579389209
G,g8_h80,random_walk,windowed_sysid,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.375,0.1711632992203644,0.19825990531868298,0.4642931941527061,0.1246071281883646,5.596176686786431,0.1330238822528313,1.249569402844922,0.0003491485828801979,0.009375000000000001,0.0,0.0,nan,0.24570061296475806
G,g8_h80,random_walk,calibration_state,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.13390131659816948,0.3797831912839804,0.12702851882347138,5.695381745762311,0.11563182754220258,1.1513873787677085,0.00030442969577013036,0.0,0.0,0.0,nan,0.3057653579389209
G,g8_h80,random_walk,calibration_state,311000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.25,0.15309310892394862,0.1972272944777923,0.4629333198404021,0.12942227357528796,5.380182624507316,0.08212887965617618,1.1591111352523698,0.00026146760945985133,0.0,0.0,0.0,nan,0.24570061296475806
G,g8_h80,random_walk,oracle,310000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,0.5,0.1767766952966369,0.1361160730260246,0.380654998513524,0.1268544366979994,5.689878225821656,0.0,1.1722382768451922,0.0003036012386028,0.0,0.0,0.0,nan,0.3057653579389209
